transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,transaction_month
54,27,2549,09/02/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,34527,$110.81,February
55,0,3140,18/09/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482,$72.60,September
56,47,3406,14/11/2017,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",35470,$189.28,November
57,94,2294,30/08/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,41434,$641.64,August
58,91,1031,14/11/2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26,36367,$25.09,November
59,93,993,15/02/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750,$583.27,February
60,60,3473,18/12/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",41848,$217.51,December
61,0,1839,24/02/2017,FALSE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,34244,$4.80,February
62,33,1824,18/12/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888,$144.26,December
63,35,368,17/12/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688,$448.68,December
64,0,2000,08/07/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,39031,$110.81,July
65,28,825,16/05/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36",42696,$133.78,May
66,86,3315,23/02/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,36367,$110.56,February
67,2,75,03/07/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245,$17.87,July
68,4,1498,30/09/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38258,$451.65,September
69,38,1612,21/10/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41167,"$1,702.55",October
70,27,2192,06/05/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334,$110.81,May
71,54,419,03/01/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915,"$1,279.40",January
72,77,3307,09/05/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672,"$1,660.88",May
73,22,2430,23/07/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165,$15.08,July
74,56,1506,21/01/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,35707,$45.96,January
75,58,1346,20/06/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,42295,$771.12,June
76,22,927,10/03/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,33552,$15.08,March
77,50,763,02/06/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,37668,$43.97,June
78,80,2397,07/11/2017,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,36145,$139.23,November
79,87,102,12/09/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667,$471.60,September
80,15,2884,16/12/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,38693,$209.84,December
81,84,759,07/10/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879,$198.22,October
82,21,773,27/04/2017,TRUE,Approved,Solex,Standard,medium,large,1071.23,$380.74,40670,$690.49,April
84,33,3297,02/11/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888,$144.26,November
85,84,2434,13/02/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,38339,$75.48,February
86,1,1861,19/07/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,38258,$448.68,July
87,27,1233,23/05/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,33455,$110.81,May
88,31,1390,06/08/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,34079,$547.28,August
89,0,2682,04/04/2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,40303,$4.80,April
90,62,439,15/08/2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,34143,$179.44,August
91,17,1579,15/04/2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,35160,$409.86,April
92,73,2984,25/07/2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,36668,"$1,612.25",July
93,33,3470,28/11/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",36498,$144.26,November
94,86,1,23/12/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38482,$110.56,December
95,45,757,26/02/2017,FALSE,Approved,Solex,Standard,medium,medium,441.49,$84.99,34071,$356.50,February
96,1,1778,21/02/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,40649,$448.68,February
97,80,211,31/05/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,38339,$139.23,May
98,49,333,23/06/2017,,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,37823,$133.38,June
99,95,32,26/03/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,$528.43,37874,$41.13,March
100,0,119,31/07/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,36146,$179.44,July
101,18,2347,27/07/2017,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,42226,$459.46,July
102,4,2353,14/04/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,40649,$451.65,April
103,33,788,12/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888,$144.26,November
104,78,1468,12/09/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193,"$1,055.82",September
105,89,821,26/10/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,41434,"$1,305.25",October
106,70,2489,15/02/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105,$198.29,February
107,79,2710,22/12/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,37873,$737.57,December
108,26,947,11/10/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,34115,"$1,230.30",October
109,39,1335,27/03/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,38991,"$1,230.27",March
110,36,1076,04/11/2017,FALSE,Approved,Solex,Standard,low,medium,945.04,$507.58,35052,$437.46,November
111,0,3320,11/06/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172,$14.23,June
112,84,779,09/10/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879,$198.22,October
113,98,3296,07/06/2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,33364,$143.36,June
114,75,455,24/10/2017,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,37873,"$1,010.02",October
115,76,1779,01/05/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,38482,$128.46,May
116,72,2703,21/11/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,40553,$90.10,November
117,42,806,24/03/2017,FALSE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",34071,$199.10,March
118,20,22,21/03/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",40303,$195.34,March
119,64,1591,20/02/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,38647,$872.89,February
120,0,678,16/06/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105,$198.29,June
121,25,50,04/12/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,33888,$709.34,December
122,24,1038,01/12/2017,TRUE,Approved,Solex,Road,medium,large,1777.8,$820.78,34115,$957.02,December
123,31,1453,05/03/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,42218,$547.28,March
124,98,1339,21/03/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,35470,$693.76,March
125,22,3382,03/01/2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,41345,$143.82,January
127,84,2503,16/03/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,38482,$75.48,March
128,25,1057,26/02/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404,$709.34,February
129,50,1397,05/06/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,42295,$43.97,June
130,44,2134,04/09/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672,"$1,660.88",September
131,96,2403,18/01/2017,TRUE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",37539,$129.01,January
132,12,1937,28/09/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216,"$1,069.55",September
133,93,1282,02/09/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,37539,$834.94,September
134,78,2183,09/05/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,33429,"$1,055.82",May
135,84,1788,17/10/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,38859,$198.22,October
136,65,1170,25/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,42105,"$1,028.76",April
137,0,431,23/09/2017,FALSE,Approved,,,,,1942.61,,,"$1,942.61",September
138,29,1940,02/08/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,36833,$834.94,August
139,32,2073,25/03/2017,FALSE,Cancelled,Giant Bicycles,Standard,high,medium,1179,$707.40,36833,$471.60,March
140,11,462,01/01/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,42560,$509.97,January
141,10,2728,22/12/2017,FALSE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,37499,"$1,612.25",December
142,46,2053,25/12/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,41064,"$1,215.34",December
143,60,2135,26/01/2017,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",41047,$217.51,January
144,92,1217,20/12/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,33259,"$1,630.25",December
145,7,2992,07/06/2017,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,38693,$745.94,June
146,41,3261,06/04/2017,TRUE,Approved,Solex,Road,medium,medium,416.98,$312.74,35560,$104.24,April
147,67,2748,25/04/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647,$167.21,April
150,9,3067,21/11/2017,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,34586,$75.14,November
151,31,701,11/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,37698,$57.73,November
152,92,648,16/10/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",36833,$155.65,October
153,37,3286,19/08/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361,"$1,544.61",August
154,3,3383,06/04/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,40784,"$1,702.55",April
155,56,982,04/11/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,42404,$75.75,November
156,14,676,22/08/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",37873,$737.17,August
157,6,385,15/09/2017,TRUE,Approved,Solex,Standard,high,medium,748.17,$448.90,42105,$299.27,September
158,50,1229,01/03/2017,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,39915,$43.97,March
159,10,3232,16/08/2017,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41345,"$1,103.43",August
160,0,3300,27/08/2017,FALSE,Approved,,,,,1656.86,,,"$1,656.86",August
161,69,2381,10/07/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,42105,$198.22,July
162,78,371,11/12/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193,"$1,055.82",December
163,80,2519,20/05/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,42226,$139.23,May
164,17,2264,30/07/2017,FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80,35378,$409.86,July
165,3,2637,25/10/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,38573,"$1,702.55",October
167,90,3177,26/04/2017,,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482,$72.60,April
168,87,2267,02/02/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667,$471.60,February
169,97,456,02/05/2017,FALSE,Approved,Solex,Standard,medium,large,202.62,$151.96,38002,$50.66,May
170,6,404,16/10/2017,,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,37838,$91.15,October
171,100,3121,22/10/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,33364,$830.24,October
172,55,2365,11/04/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,33259,"$1,295.43",April
173,100,2528,16/11/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,33364,$830.24,November
174,10,3151,17/12/2017,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,34586,"$1,103.43",December
175,25,3241,23/12/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42696,$709.34,December
177,90,2234,13/04/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482,$72.60,April
178,56,3226,25/07/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,35707,$45.96,July
179,62,1365,31/01/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,34143,$179.44,January
180,20,3349,18/03/2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",40303,$195.34,March
181,17,1002,24/02/2017,FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80,40670,$409.86,February
182,16,2282,18/02/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",41345,$182.81,February
183,46,2656,07/01/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,41064,"$1,215.34",January
184,71,2409,05/07/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996,$737.17,July
185,91,1711,19/11/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,38193,$128.46,November
186,17,2582,08/11/2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,35378,$409.86,November
187,1,1005,24/07/2017,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,37873,"$1,010.02",July
188,3,1597,15/01/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41167,"$1,702.55",January
189,56,2713,12/01/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,34143,$45.96,January
190,37,1435,27/11/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,40672,"$1,544.61",November
191,34,1477,30/06/2017,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,39526,$309.81,June
192,0,1614,15/07/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,39031,$57.73,July
193,12,1254,22/06/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,39880,"$1,069.55",June
194,25,1423,02/05/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,40553,$709.34,May
195,81,276,27/12/2017,FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,33429,$64.51,December
196,19,1315,21/12/2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,36334,$4.80,December
197,45,591,23/05/2017,TRUE,Approved,Solex,Standard,medium,medium,441.49,$84.99,34071,$356.50,May
198,74,1017,02/02/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,41848,$812.44,February
199,33,2123,08/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888,$144.26,June
200,57,2889,15/04/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,34143,"$1,630.25",April
201,0,3208,05/09/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064,$133.38,September
202,23,2406,26/02/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,39031,$75.75,February
203,67,2041,29/07/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647,$167.21,July
204,81,1598,03/07/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,33429,$64.51,July
206,5,141,05/05/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38573,$451.65,May
207,94,1321,09/09/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,41434,$641.64,September
208,51,183,21/05/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",41009,$802.26,May
209,59,2591,22/09/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",37626,$155.65,September
211,40,766,07/05/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750,$583.27,May
212,80,1596,13/01/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,38647,$872.89,January
213,82,520,14/12/2017,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,42226,$459.46,December
214,46,868,22/03/2017,TRUE,Approved,Solex,Standard,low,medium,1289.85,$74.51,41009,"$1,215.34",March
215,78,2999,30/09/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,42226,"$1,055.82",September
216,72,352,29/11/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710,$90.10,November
217,75,1140,09/06/2017,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,38193,"$1,010.02",June
218,40,621,21/04/2017,FALSE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,37823,"$1,295.43",April
220,10,1502,09/04/2017,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41345,"$1,103.43",April
221,35,936,08/05/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688,$448.68,May
222,8,939,08/07/2017,TRUE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",40649,$187.39,July
223,2,2698,30/11/2017,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,$525.33,40487,$64.93,November
224,69,579,25/04/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879,$198.22,April
225,54,2036,30/03/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915,"$1,279.40",March
226,8,3077,10/03/2017,FALSE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",34079,$187.39,March
227,86,369,16/03/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38482,$110.56,March
229,19,2687,13/03/2017,TRUE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784,$114.93,March
230,86,681,23/12/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,41434,$110.56,December
231,46,37,12/08/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361,"$1,544.61",August
233,92,396,01/09/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,33259,"$1,630.25",September
234,71,550,01/09/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996,$737.17,September
235,77,1605,02/07/2017,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553,$445.21,July
236,7,2325,31/08/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",37698,$144.26,August
237,23,1420,11/03/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,34244,$75.75,March
238,12,3099,08/10/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,34586,"$1,069.55",October
239,61,1645,01/10/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42145,$14.23,October
240,21,546,23/11/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,33552,$690.49,November
241,86,2885,27/03/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,37626,$110.56,March
242,57,2740,04/12/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,36146,"$1,630.25",December
